Component,Cost,Status,Link
"TFT Display 2.4"" ILI9341","$4.01","Buy","https://www.aliexpress.com/item/1005006624846563.html"
"4Ω 3W Speaker","$2.09","Buy","https://www.aliexpress.com/item/1005008004635189.html"
"Screw Terminal (7x)","Owned","Owned",""
"DC Barrel Jack","Owned","Owned",""
"LEDs (2x)","Owned","Owned",""
"MOSFET","Owned","Owned",""
"Header Pins","Owned","Owned",""
"PAM8403 Amplifier Module","$4.02","Buy","https://www.aliexpress.com/item/32848888092.html"
"DC Motor","Owned","Owned",""
"SG90 Servo Motor","Owned","Owned",""
"100µF Capacitors","Owned","Owned",""
"100nF Ceramic Capacitors","Owned","Owned",""
"470µF Capacitor","$8.65","Buy","https://www.aliexpress.com/item/1005003808375884.html?pdp_ext_f=%7B""order""%3A""108""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D"
"10µF Capacitors","$2.13","Buy","https://www.aliexpress.com/item/1005011728628651.html"
"1µF Capacitors","$2.08","Buy","https://www.aliexpress.com/item/1005011728628651.html"
"Resistors","Owned","Owned",""
"1N5819 Diodes","$4.35","Buy","https://www.aliexpress.com/item/32866531235.html"
"Push Buttons","Owned","Owned",""
"ESP32 Dev Board","$4.40","Buy","https://www.aliexpress.com/item/1005004605399313.html"
"5V 5A Barrel Jack Power Supply","$9.43","Buy","https://www.aliexpress.com/item/1005009715118182.html?pdp_ext_f=%7B""order""%3A""274""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D"
"PCB","$27.77","Buy","https://jlcpcb.com"
"M2 Screws","$5.40","Buy","https://www.aliexpress.com/item/1005011580506515.html?mp=1&pdp_npi=6%40dis%21USD%21USD%205.94%21USD%205.40%21%21USD%205.29%21%21%21%4021039eb717839775797982157e1157%2112000055975528724%21ct%21IE%212650473942%21%211%210%21"
"Pin Headers (for ESP32)","$6.06","Buy","https://www.aliexpress.com/item/1005004945845785.html?pdp_ext_f=%7B""order""%3A""238""%2C""spu_best_type""%3A""price""%2C""eval""%3A""1""%2C""fromPage""%3A""search""%7D"
"Shipping","$1.63","Charge",""
"Duties","$33.01","Charge",""
